                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98987,                0.68903,                 1.2306,                0.93535,                0.91076,                0.95485,                0.73279,                 1.0309,                0.51176,                 1.2353,               0.003268,               0.003268,               0.003268
                     36,                0.98744,                0.67681,                 1.2275,                0.92319,                0.90949,                0.95532,                0.73241,                 1.0401,                0.51939,                 1.2418,                0.00307,                0.00307,                0.00307
                     37,                0.97324,                 0.6727,                 1.2226,                0.92529,                0.92038,                0.95458,                0.73343,                 1.0395,                0.50388,                 1.2428,               0.002872,               0.002872,               0.002872
                     38,                0.95845,                0.65439,                 1.2096,                0.91222,                0.92114,                0.95369,                0.73039,                 1.0181,                0.49589,                 1.2222,               0.002674,               0.002674,               0.002674
                     39,                0.94456,                0.63841,                 1.2017,                0.93026,                0.90725,                0.95687,                0.74382,                 1.0293,                0.50318,                 1.2355,               0.002476,               0.002476,               0.002476
                     40,                0.92718,                0.52358,                 1.2026,                 0.9316,                0.91433,                0.95597,                0.74231,                 1.0254,                0.50186,                 1.2309,               0.002278,               0.002278,               0.002278
                     41,                 0.9135,                0.50228,                 1.1962,                0.93058,                0.92551,                0.95519,                0.74722,                 1.0045,                0.49608,                 1.2134,                0.00208,                0.00208,                0.00208
                     42,                0.88867,                0.48364,                 1.1843,                0.93367,                0.91637,                 0.9537,                0.75084,                 1.0116,                 0.4843,                 1.2236,               0.001882,               0.001882,               0.001882
                     43,                0.86919,                0.46658,                 1.1717,                0.93222,                0.92013,                0.95607,                0.75015,                 1.0138,                0.48114,                 1.2323,               0.001684,               0.001684,               0.001684
                     44,                0.86185,                0.46726,                 1.1714,                0.93511,                0.92159,                0.95659,                0.75388,                 1.0011,                0.47827,                 1.2274,               0.001486,               0.001486,               0.001486
                     45,                0.84497,                0.44813,                  1.158,                0.93288,                0.92263,                0.95275,                0.75158,                0.99919,                0.47013,                 1.2237,               0.001288,               0.001288,               0.001288
                     46,                0.83454,                0.44038,                 1.1474,                0.92837,                0.93393,                0.95894,                0.76286,                0.99203,                 0.4622,                 1.2176,                0.00109,                0.00109,                0.00109
                     47,                0.82082,                0.42887,                 1.1386,                0.93755,                 0.9309,                0.95725,                0.75981,                0.99324,                0.46449,                  1.221,               0.000892,               0.000892,               0.000892
                     48,                0.80745,                0.41487,                 1.1272,                0.94155,                0.93036,                0.95647,                0.76136,                0.98908,                0.46225,                 1.2189,               0.000694,               0.000694,               0.000694
                     49,                 0.7961,                0.41179,                 1.1275,                0.93955,                0.92653,                0.95816,                0.76511,                0.98873,                0.45747,                 1.2153,               0.000496,               0.000496,               0.000496
